SPCompIndexPercentChange,CPIPercentChange,LongInterestRatePercentChange,RealEarningsPercentChange,CyclicallyAdjPEPercentageChange,CAPETotalPercentageChange,RealTotalBondReturnPercentageChange
0,0.0056,0.291079812,-0.015017878,-0.011088416,-0.011815252,-0.057082452
-0.09,0.011033863,0.054545455,-0.020425944,-0.095013278,-0.095380435,-0.021524664
-0.04,0.013718782,0.082758621,-0.023124815,-0.052820346,-0.05316912,-0.031393217
0,-0.000101245,-0.076433121,-0.008598887,-0.00172117,-0.001903553,0.023420866
0.06,-0.00037127,0,-0.008418367,0.05862069,0.05785124,0.002773925
-0.08,0.002160921,0.213793103,-0.011011063,-0.080456026,-0.080528846,-0.051406178
-0.03,0.00404299,0.130681818,-0.029707091,-0.040736805,-0.040849673,-0.038639125
0.05,-0.001006678,-0.022613065,-0.025469169,0.048005908,0.04770017,0.011880688
0,-0.003056666,-0.06940874,-0.024209078,-0.002114165,-0.002276423,0.028728454
0.01,0.007985175,-0.024861878,-0.003326755,0.000353107,0.000325945,0.0026712
0.03,0.005582111,0.062322946,-0.000905182,0.02082598,0.020527859,-0.020828288
-0.03,0.002792182,-0.024,0.00186863,-0.033540802,-0.033524904,0.007914915
