SPCompIndex,SPCompIndexChange,Dividends,Earnings,CPI,LongInterestRate,RealPrice,RealDiv,RealTotalReturnPrice,RealEarnings,RealTRScaledEarnings,CyclicallyAdjPE,CAPETotal,ExcessCAPEYield,MonthlyBondTotalReturn,RealTotalBondReturn
2557.00,0.03,48.42,108.01,246.66,2.36,3158.63,59.82,1879082.13,133.43,79376.58,30.92,33.78,0.03,1.00,49.91
2593.61,0.01,48.68,108.95,246.67,2.35,3203.78,60.13,1908920.51,134.58,80185.74,31.30,34.17,0.02,1.00,50.05
2664.34,0.03,48.93,109.88,246.52,2.40,3293.08,60.48,1965134.68,135.81,81044.09,32.09,35.02,0.02,0.99,49.95
2789.80,0.04,49.29,111.73,247.87,2.58,3429.47,60.59,2049534.11,137.35,82085.20,33.31,36.33,0.02,0.98,49.00
2705.16,-0.03,49.64,113.59,248.99,2.86,3310.41,60.75,1981407.26,139.00,83197.09,32.04,34.93,0.02,1.00,47.71
2702.77,0.00,50.00,115.44,249.55,2.84,3300.02,61.05,1978235.55,140.95,84493.88,31.81,34.68,0.02,1.00,47.79
2653.63,-0.02,50.33,117.79,250.55,2.87,3227.20,61.21,1937636.11,143.25,86005.85,30.97,33.75,0.02,0.99,47.59
2701.49,0.02,50.66,120.13,251.59,2.98,3271.79,61.35,1967482.67,145.49,87492.55,31.24,34.04,0.02,1.01,47.08
2754.35,0.02,50.99,122.48,251.99,2.91,3330.50,61.66,2005877.90,148.10,89197.06,31.63,34.46,0.02,1.00,47.39
2793.64,0.01,51.44,125.12,252.01,2.89,3377.79,62.20,2037475.50,151.28,91250.89,31.89,34.73,0.02,1.00,47.58
2857.82,0.02,51.89,127.75,252.15,2.89,3453.47,62.71,2086278.39,154.38,93263.05,32.39,35.27,0.02,0.99,47.67
2901.50,0.02,52.34,130.39,252.44,3.00,3502.18,63.18,2118887.78,157.38,95220.33,32.62,35.52,0.02,0.99,47.28
2785.46,-0.04,52.81,131.06,252.89,3.15,3356.19,63.63,2033767.50,157.91,95689.33,31.04,33.79,0.02,1.01,46.71
2723.23,-0.02,53.28,131.72,252.04,3.12,3292.23,64.41,1998265.77,159.25,96656.63,30.20,32.88,0.02,1.03,47.11
2567.31,-0.06,53.75,132.39,251.23,2.83,3113.68,65.19,1893187.50,160.57,97627.12,28.29,30.82,0.03,1.01,48.57
2607.39,0.02,54.15,133.06,251.71,2.71,3156.27,65.55,1922405.47,161.07,98101.50,28.38,30.93,0.03,1.00,49.10
2754.86,0.05,54.54,133.72,252.78,2.68,3320.75,65.75,2025921.31,161.19,98340.01,29.54,32.21,0.02,1.01,49.13
